OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
+,304,613,4851,3199,5414,2079,7427,6266,6448,3244
+,8734,7171,927,6317,6590,8332,2470,2143,1823,7194
+,2819,3765,8434,392,7903,2903,7674,7705,6970,5066
+,2566,2979,6122,7612,112,2168,2062,3296,2060,3726
+,5211,6554,4837,8485,8986,3055,3449,4911,8424,8870
+,6695,7207,1661,8670,2641,4227,4925,7766,640,6210
+,7504,1228,249,9744,645,55,9467,4416,2628,1423
+,6990,5853,4160,5464,1739,5319,7493,1354,3468,965
+,8523,342,6134,5103,1835,2633,9201,4421,6955,6967
+,3286,5038,9062,8674,3786,1669,445,2848,6307,1347
-,8523,342,6134,5103,1835,2633,9201,4421,6955,6967
+,2355,3157,9585,7629,9092,7011,9472,8114,9027,5895
+,9300,8116,1843,4412,4590,4183,1,9515,9448,2475
+,1255,1987,9444,6918,6366,7249,1104,5983,1567,8303
+,5810,3382,6864,163,3394,8373,5913,2486,5474,3324
+,4464,2362,5497,4558,9220,3635,341,6918,1966,7097
+,9454,7639,8570,96,7660,3822,4074,9938,2041,2632
+,9991,5353,7178,6391,107,9047,6397,6231,9568,4075
+,3920,63,1447,8903,4149,2392,1236,4860,8025,4325
+,738,1229,3515,5134,4818,1104,6924,9132,2340,8627
+,4051,9976,189,9388,6084,6908,5636,2710,9655,8906
-,5211,6554,4837,8485,8986,3055,3449,4911,8424,8870
+,2317,580,6726,8524,9127,5343,7138,6398,7379,9118
+,4541,5789,9659,7334,5404,2838,5895,1414,9983,9831
+,3284,1322,9875,2381,6742,3637,4834,2169,6355,1858
+,6062,3051,2796,7675,36,835,962,5646,5438,424
+,4630,3862,955,4937,258,172,9445,6292,5108,6127
+,1371,3238,5279,3490,3491,5472,3970,999,4374,8378
+,9085,1753,8173,6017,4703,7216,2189,8662,5685,6798
+,4104,5041,3736,5733,1812,4078,1670,9138,7580,24
+,3693,2018,823,341,391,8926,8866,3390,6721,6299
+,3866,696,9325,8297,8882,4698,9163,5142,1981,4248
-,2566,2979,6122,7612,112,2168,2062,3296,2060,3726
+,7889,2635,529,1210,5392,2912,1695,1454,4711,3273
+,1802,1242,371,5088,1785,3911,6830,7331,8441,2345
+,2246,956,545,3149,7123,5304,5386,5758,4745,6063
+,3711,50,9693,5792,6679,2957,8368,2943,1909,172
+,3528,4538,2439,6760,6295,7151,4019,5700,55,7973
+,5441,6833,9985,4496,9435,3806,555,8140,2533,6845
+,8752,5153,3271,3508,7264,9342,1781,3424,8510,1191
+,6291,8585,7081,770,2341,7660,6361,4096,9162,4319
+,1046,8945,3045,2787,9177,72,9304,2795,2815,998
+,4369,5163,1446,1747,9433,2902,4232,6292,8843,5657
-,1802,1242,371,5088,1785,3911,6830,7331,8441,2345
+,9041,8574,9064,9987,7765,8212,4522,7248,1681,7665
+,4685,4871,5392,6081,4440,1145,2127,1787,3257,2818
+,1055,4974,8688,1588,6391,322,1422,9343,5554,9342
+,6924,9804,4251,9593,4220,8162,7248,4463,9458,270
+,17,2077,9162,7022,194,9699,9458,406,2501,5146
+,5827,4869,650,6444,475,9098,9538,6326,9795,5674
